GeoFips,GeoName,2022
01001,"Autauga, AL",57784
01003,"Baldwin, AL",816528
01005,"Barbour, AL",25904
01007,"Bibb, AL",8956
01009,"Blount, AL",28374
01011,"Bullock, AL",(D)
01013,"Butler, AL",27429
01015,"Calhoun, AL",192682
01017,"Chambers, AL",31669
01019,"Cherokee, AL",15708
01021,"Chilton, AL",35305
01023,"Choctaw, AL",5926
01025,"Clarke, AL",25465
01027,"Clay, AL",(D)
01029,"Cleburne, AL",5832
01031,"Coffee, AL",70653
01033,"Colbert, AL",63830
01035,"Conecuh, AL",(D)
01037,"Coosa, AL",(D)
01039,"Covington, AL",35282
01041,"Crenshaw, AL",10741
01043,"Cullman, AL",114055
01045,"Dale, AL",49236
01047,"Dallas, AL",27346
01049,"DeKalb, AL",74604
01051,"Elmore, AL",128848
01053,"Escambia, AL",(D)
01055,"Etowah, AL",156529
01057,"Fayette, AL",8628
01059,"Franklin, AL",34024
01061,"Geneva, AL",(D)
01063,"Greene, AL",2994
01065,"Hale, AL",(D)
01067,"Henry, AL",9518
01069,"Houston, AL",300428
01071,"Jackson, AL",43272
01073,"Jefferson, AL",1569294
01075,"Lamar, AL",7676
01077,"Lauderdale, AL",162119
01079,"Lawrence, AL",(D)
01081,"Lee, AL",347802
01083,"Limestone, AL",111633
01085,"Lowndes, AL",(D)
01087,"Macon, AL",(D)
01089,"Madison, AL",818474
01091,"Marengo, AL",16028
01093,"Marion, AL",24960
01095,"Marshall, AL",133771
01097,"Mobile, AL",697666
01099,"Monroe, AL",(D)
01101,"Montgomery, AL",567183
01103,"Morgan, AL",188957
01105,"Perry, AL",5113
01107,"Pickens, AL",5398
01109,"Pike, AL",58749
01111,"Randolph, AL",(D)
01113,"Russell, AL",61293
01115,"St. Clair, AL",88432
01117,"Shelby, AL",381124
01119,"Sumter, AL",10462
01121,"Talladega, AL",84182
01123,"Tallapoosa, AL",46367
01125,"Tuscaloosa, AL",435381
01127,"Walker, AL",84387
01129,"Washington, AL",2623
01131,"Wilcox, AL",(D)
01133,"Winston, AL",(D)
02013,"Aleutians East Borough, AK",(D)
02016,"Aleutians West Census Area, AK",(D)
02020,"Anchorage Municipality, AK",869719
02050,"Bethel Census Area, AK",8644
02060,"Bristol Bay Borough, AK",15489
02063,"Chugach Census Area, AK*",18205
02066,"Copper River Census Area, AK*",10186
02068,"Denali Borough, AK",115807
02070,"Dillingham Census Area, AK",12729
02090,"Fairbanks North Star Borough, AK",251055
02100,"Haines Borough, AK",6350
02105,"Hoonah-Angoon Census Area, AK*",(D)
02110,"Juneau City and Borough, AK",76929
02122,"Kenai Peninsula Borough, AK",145914
02130,"Ketchikan Gateway Borough, AK*",68164
02150,"Kodiak Island Borough, AK",26956
02158,"Kusilvak Census Area, AK*",(D)
02164,"Lake and Peninsula Borough, AK",19763
02170,"Matanuska-Susitna Borough, AK",153196
02180,"Nome Census Area, AK",9700
02185,"North Slope Borough, AK",(D)
02188,"Northwest Arctic Borough, AK",(D)
02195,"Petersburg Borough, AK*",6935
02198,"Prince of Wales-Hyder Census Area, AK*",14129
02201,"Prince of Wales-Outer Ketchikan Census Area, AK*",(NA)
02220,"Sitka City and Borough, AK",39980
02230,"Skagway Municipality, AK*",9749
02232,"Skagway-Hoonah-Angoon Census Area, AK*",(NA)
02240,"Southeast Fairbanks Census Area, AK",17557
02261,"Valdez-Cordova Census Area, AK*",(NA)
