ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,54.86,1.33,70,53.53
AL-003,Baldwin County,Alabama,52.77,-9.12,25,61.89
AL-005,Barbour County,Alabama,51.75,-0.53,53,52.28
AL-007,Bibb County,Alabama,45.48,-9.76,20,55.24
AL-009,Blount County,Alabama,44.83,-10.77,12,55.6
AL-011,Bullock County,Alabama,55.51,3.45,85,52.06
AL-013,Butler County,Alabama,54.41,-1.27,54,55.68
AL-015,Calhoun County,Alabama,45.76,-7.62,26,53.38
AL-017,Chambers County,Alabama,52.47,-0.84,54,53.31
AL-019,Cherokee County,Alabama,45.57,-8,23,53.57
AL-021,Chilton County,Alabama,49.9,-4.33,38,54.23
AL-023,Choctaw County,Alabama,52.18,-4.67,44,56.85
AL-025,Clarke County,Alabama,54.9,-3.01,49,57.91
AL-027,Clay County,Alabama,53.94,-1.89,52,55.83
AL-029,Cleburne County,Alabama,49.24,-4.69,41,53.93
AL-031,Coffee County,Alabama,58.97,2.8,86,56.17
AL-033,Colbert County,Alabama,44.22,-9.35,20,53.57
AL-035,Conecuh County,Alabama,51.91,-6.09,38,58
AL-037,Coosa County,Alabama,56.2,1.55,68,54.65
AL-039,Covington County,Alabama,54.05,-4.57,42,58.62
AL-041,Crenshaw County,Alabama,57.18,1.85,75,55.33
AL-043,Cullman County,Alabama,46.28,-9.84,13,56.12
AL-045,Dale County,Alabama,54.06,-0.32,62,54.38
AL-047,Dallas County,Alabama,50.34,-2.48,49,52.82
AL-049,DeKalb County,Alabama,46.73,-8.76,19,55.49
AL-051,Elmore County,Alabama,59.06,5.6,97,53.46
AL-053,Escambia County,Alabama,47.09,-13.34,12,60.43
AL-055,Etowah County,Alabama,42.47,-11.99,10,54.46
AL-057,Fayette County,Alabama,48.54,-7.73,28,56.27
AL-059,Franklin County,Alabama,45.75,-8.96,19,54.71
AL-061,Geneva County,Alabama,59.04,1.85,72,57.19
AL-063,Greene County,Alabama,48.03,-4.93,34,52.96
AL-065,Hale County,Alabama,48,-5.75,31,53.75
AL-067,Henry County,Alabama,50.68,-2.65,51,53.33
